Id,Data,Laikas,Namų komanda,Išvykos komanda,Arena,Rezultatas,Lankomumas
604,2016-06-06,19:00,Žalgiris,Neptūnas,Žalgirio arena,97:70,0
603,2016-06-03,19:00,Neptūnas,Žalgiris,Švyturio arena,50:74,0
602,2016-06-01,19:00,Rytas,Juventus,Ryto arena,89:81,0
601,2016-05-31,19:00,Žalgiris,Neptūnas,Žalgirio arena,78:54,0
600,2016-05-28,17:00,Neptūnas,Žalgiris,Švyturio arena,76:54,0
599,2016-05-29,17:00,Juventus,Rytas,Utenos daugiafunkcis sporto centras,78:83,0
598,2016-05-25,19:00,Žalgiris,Neptūnas,Žalgirio arena,83:72,0
597,2016-05-22,17:00,Rytas,Neptūnas,Siemens arena,72:73,0
596,2016-05-26,19:00,Rytas,Juventus,Ryto arena,85:83,0
595,2016-05-20,19:00,Neptūnas,Rytas,Švyturio arena,73:74,0
594,2016-05-17,19:00,Rytas,Neptūnas,Siemens arena,66:64,0
593,2016-05-16,19:00,Žalgiris,Juventus,Žalgirio arena,80:72,0
592,2016-05-14,17:00,Neptūnas,Rytas,Švyturio arena,70:68,0
591,2016-05-13,19:00,Juventus,Žalgiris,Utenos daugiafunkcis sporto centras,73:88,0
590,2016-05-11,19:00,Rytas,Neptūnas,Siemens arena,71:83,0
589,2016-05-10,19:00,Žalgiris,Juventus,Žalgirio arena,91:76,0
588,2016-05-07,17:00,Skycop,Juventus,Prienų sporto arena,79:83,0
587,2016-05-05,18:30,Juventus,Skycop,Utenos daugiafunkcis sporto centras,73:78,0
586,2016-05-02,18:30,Skycop,Juventus,Prienų sporto arena,65:66,0
585,2016-04-30,16:00,Juventus,Skycop,Utenos daugiafunkcis sporto centras,93:88,0
584,2016-04-26,18:30,Skycop,Juventus,Prienų sporto arena,98:91,0
583,2016-05-06,17:30,Šiauliai,Neptūnas,Šiaulių arena,86:87,0
582,2016-05-03,19:00,Neptūnas,Šiauliai,Švyturio arena,90:85,0
581,2016-05-01,17:00,Šiauliai,Neptūnas,Šiaulių arena,93:84,0
580,2016-04-27,19:00,Neptūnas,Šiauliai,Švyturio arena,83:77,0
579,2016-05-03,19:00,Rytas,Lietkabelis,Ryto arena,83:78,0
578,2016-05-02,19:00,Žalgiris,Pieno žvaigždės,Žalgirio arena,95:81,0
577,2016-04-30,17:00,Lietkabelis,Rytas,Cido arena,66:85,0
576,2016-04-29,18:00,Pieno žvaigždės,Žalgiris,Pieno žvaigždžių arena,71:84,0
575,2016-04-27,19:00,Rytas,Lietkabelis,Ryto arena,79:74,0
574,2016-04-26,19:00,Žalgiris,Pieno žvaigždės,Žalgirio arena,102:66,0
573,2016-03-14,18:30,Lietkabelis,Žalgiris,Cido arena,70:90,0
572,2016-03-13,17:00,Šiauliai,Rytas,Šiaulių arena,80:81,0
571,2016-03-12,17:00,Neptūnas,Pieno žvaigždės,Švyturio arena,95:91,0
570,2016-03-05,17:00,Rytas,Nevėžis,Ryto arena,87:70,0
569,2016-04-23,17:00,Žalgiris,Šiauliai,Žalgirio arena,79:82,0
568,2016-04-23,17:00,Rytas,Dzūkija,Ryto arena,88:59,0
567,2016-04-23,17:00,Neptūnas,Nevėžis,Švyturio arena,103:69,0
566,2016-04-23,17:00,Pieno žvaigždės,Juventus,Pieno žvaigždžių arena,85:75,0
