Id,Data,Laikas,Namų komanda,Išvykos komanda,Arena,Rezultatas,Lankomumas
299,2017-02-25,16:00,Nevėžis,Skycop,Kėdainių arena,87:96,0
298,2017-02-12,17:00,Žalgiris,Dzūkija,Žalgirio arena,96:68,0
297,2017-02-11,17:00,Šiauliai,Rytas,Šiaulių arena,81:82,0
296,2017-02-11,16:30,Pieno žvaigždės,Nevėžis,Pieno žvaigždžių arena,89:88,0
295,2017-02-11,16:00,Lietkabelis,Skycop,Cido arena,63:69,0
294,2017-02-11,17:00,Neptūnas,Juventus,Švyturio arena,70:79,0
293,2017-02-05,17:00,Rytas,Žalgiris,Siemens arena,72:79,0
292,2017-02-05,16:30,Pieno žvaigždės,Lietkabelis,Pieno žvaigždžių arena,76:84,0
291,2017-02-04,16:00,Nevėžis,Juventus,Kėdainių arena,74:102,0
290,2017-02-04,17:00,Dzūkija,Neptūnas,Alytaus sporto ir rekreacijos centras,66:69,0
289,2017-02-04,16:30,Skycop,Šiauliai,Prienų sporto arena,83:61,0
288,2017-01-29,17:00,Pieno žvaigždės,Juventus,Pieno žvaigždžių arena,76:81,0
287,2017-01-29,16:00,Šiauliai,Dzūkija,Šiaulių arena,85:64,0
286,2017-01-28,16:00,Rytas,Nevėžis,Ryto arena,86:78,0
285,2017-01-28,17:00,Neptūnas,Skycop,Švyturio arena,72:60,0
284,2017-01-30,18:30,Lietkabelis,Žalgiris,Cido arena,79:77,0
283,2017-01-22,17:00,Žalgiris,Nevėžis,Žalgirio arena,80:59,0
282,2017-01-21,17:00,Neptūnas,Rytas,Švyturio arena,85:78,0
281,2017-01-21,19:00,Dzūkija,Pieno žvaigždės,Alytaus sporto ir rekreacijos centras,82:92,0
280,2017-01-22,16:00,Juventus,Skycop,Utenos daugiafunkcis sporto centras,81:75,0
279,2017-01-21,16:00,Lietkabelis,Šiauliai,Cido arena,75:62,0
278,2017-01-16,18:00,Pieno žvaigždės,Žalgiris,Pieno žvaigždžių arena,56:63,0
277,2017-01-15,17:00,Neptūnas,Lietkabelis,Švyturio arena,86:61,0
276,2017-01-15,16:00,Juventus,Šiauliai,Utenos daugiafunkcis sporto centras,81:67,0
275,2017-01-14,16:00,Nevėžis,Dzūkija,Kėdainių arena,70:79,0
274,2017-01-14,17:00,Skycop,Rytas,Prienų sporto arena,68:73,0
273,2017-01-08,17:00,Žalgiris,Lietkabelis,Žalgirio arena,76:65,0
272,2017-01-07,16:00,Skycop,Neptūnas,Prienų sporto arena,74:67,0
271,2017-01-07,19:00,Dzūkija,Šiauliai,Alytaus sporto ir rekreacijos centras,94:64,0
270,2017-01-07,16:30,Pieno žvaigždės,Juventus,Pieno žvaigždžių arena,91:95,0
269,2017-01-07,17:00,Nevėžis,Rytas,Kėdainių arena,68:81,0
268,2017-01-02,19:00,Žalgiris,Nevėžis,Žalgirio arena,89:62,0
267,2017-03-29,18:30,Lietkabelis,Šiauliai,Cido arena,80:85,0
266,2016-12-23,18:00,Pieno žvaigždės,Dzūkija,Pieno žvaigždžių arena,79:72,0
265,2016-12-30,19:00,Rytas,Neptūnas,Ryto arena,78:75,0
264,2016-12-30,18:30,Juventus,Skycop,Utenos daugiafunkcis sporto centras,73:76,0
263,2016-12-23,18:30,Lietkabelis,Rytas,Cido arena,93:85,0
262,2016-12-17,16:30,Pieno žvaigždės,Neptūnas,Pieno žvaigždžių arena,70:67,0
261,2016-12-17,17:00,Žalgiris,Šiauliai,Žalgirio arena,98:82,0
260,2016-12-11,18:00,Dzūkija,Lietkabelis,Alytaus sporto ir rekreacijos centras,67:87,0
259,2016-12-18,17:00,Skycop,Nevėžis,Prienų sporto arena,83:69,0
258,2016-12-18,16:00,Juventus,Dzūkija,Utenos daugiafunkcis sporto centras,77:62,0
257,2016-12-11,17:00,Neptūnas,Žalgiris,Švyturio arena,67:95,0
256,2016-12-10,16:30,Nevėžis,Šiauliai,Kėdainių arena,81:74,0
255,2016-12-10,17:00,Rytas,Juventus,Ryto arena,98:81,0
254,2016-12-10,16:00,Skycop,Pieno žvaigždės,Prienų sporto arena,96:77,0
